femaleID,year,annual_density_cat,annual_density,broodID,plotID,CS,stzCS
1,1994,0.33,0.33,109,2,9,0
2,1994,0.33,0.33,159,2,10,0.6
2,1995,0.36,0.36,368,2,9,0
3,1994,0.33,0.33,136,2,10,0.6
3,1995,0.36,0.36,347,2,11,1.2
4,1994,0.33,0.33,296,7,11,1.2
5,1994,0.33,0.33,259,6,9,0
6,1994,0.33,0.33,272,7,15,3.61
7,1994,0.33,0.33,152,2,10,0.6
7,1995,0.36,0.36,362,2,11,1.2
8,1994,0.33,0.33,171,2,9,0
9,1994,0.33,0.33,234,4,10,0.6
9,1995,0.36,0.36,438,4,9,0
10,1994,0.33,0.33,119,2,9,0
11,1994,0.33,0.33,92,1,9,0
11,1995,0.36,0.36,326,2,9,0
12,1994,0.33,0.33,97,1,11,1.2
13,1994,0.33,0.33,94,1,9,0
14,1994,0.33,0.33,95,1,10,0.6
15,1994,0.33,0.33,206,4,9,0
16,1994,0.33,0.33,229,4,9,0
17,1994,0.33,0.33,305,8,11,1.2
18,1994,0.33,0.33,107,2,11,1.2
18,1995,0.36,0.36,320,2,4,-3.01
19,1994,0.33,0.33,106,2,11,1.2
20,1994,0.33,0.33,122,2,10,0.6
20,1995,0.36,0.36,335,2,9,0
21,1994,0.33,0.33,105,2,10,0.6
21,1995,0.36,0.36,316,2,9,0
22,1994,0.33,0.33,114,2,9,0
23,1994,0.33,0.33,116,2,11,1.2
23,1995,0.36,0.36,376,2,10,0.6
24,1994,0.33,0.33,124,2,12,1.81
25,1994,0.33,0.33,131,2,10,0.6
26,1994,0.33,0.33,123,2,11,1.2
27,1994,0.33,0.33,132,2,10,0.6
27,1995,0.36,0.36,343,2,10,0.6
28,1994,0.33,0.33,128,2,10,0.6
29,1994,0.33,0.33,146,2,12,1.81
29,1995,0.36,0.36,355,2,12,1.81
30,1994,0.33,0.33,148,2,9,0
30,1995,0.36,0.36,346,2,9,0
31,1994,0.33,0.33,248,5,10,0.6
32,1994,0.33,0.33,150,2,10,0.6
32,1995,0.36,0.36,358,2,9,0
33,1994,0.33,0.33,135,2,12,1.81
33,1995,0.36,0.36,345,2,10,0.6
34,1994,0.33,0.33,170,2,12,1.81
35,1994,0.33,0.33,154,2,10,0.6
35,1995,0.36,0.36,360,2,12,1.81
36,1994,0.33,0.33,187,3,10,0.6
36,1995,0.36,0.36,400,3,10,0.6
36,1996,0.38,0.38,638,3,8,-0.6
37,1994,0.33,0.33,182,2,9,0
38,1994,0.33,0.33,160,2,8,-0.6
38,1995,0.36,0.36,367,2,10,0.6
39,1994,0.33,0.33,162,2,10,0.6
40,1994,0.33,0.33,184,2,11,1.2
41,1994,0.33,0.33,158,2,11,1.2
42,1994,0.33,0.33,151,2,9,0
42,1995,0.36,0.36,371,2,9,0
42,1996,0.38,0.38,611,2,7,-1.2
43,1994,0.33,0.33,103,2,10,0.6
44,1994,0.33,0.33,202,4,8,-0.6
45,1994,0.33,0.33,205,4,11,1.2
45,1995,0.36,0.36,405,4,8,-0.6
45,1996,0.38,0.38,647,4,8,-0.6
45,1997,0.4,0.4,881,4,8,-0.6
45,1999,0.49,0.49,1335,4,7,-1.2
46,1994,0.33,0.33,214,4,10,0.6
46,1995,0.36,0.36,483,4,9,0
